Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
YLD_Link,-0.0440891839567841,-5.1873280670911E-10,-0.0315237882031307,0,0,0,0.0117156542424497,3.67951096550954E-07,5.15239039992179E-14,-7.72651115285907E-09,6.52014762336772E-07,2.14985023980089E-14,5.88939528438811E-07,0,0,0,0,0,0,package://S2_3DURDF/meshes/YLD_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/YLD_Link.STL,,mid-360S-3,YLD_X,YLD_Z,YLD,fixed,-0.220969643372291,-0.200700000000007,0.36602361226325,0.132203058768706,-0.191464666368192,-0.534018601441201,YD_link,0,0,0,,,,,,,,,,,,
C1_Link,-2.74186972154533E-07,3.76258544670938E-06,-0.0124017714951685,0,0,0,0.0197882058693556,1.87646922824388E-06,2.82289220254591E-12,-7.43816524603546E-12,4.35926489796655E-06,1.0192132041073E-10,4.9604504129464E-06,0,0,0,0,0,0,package://S2_3DURDF/meshes/C1_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/C1_Link.STL,,F40-16TR1B2-3,C1_X,C1_Z,C1,fixed,-0.173908647658815,-0.272499999982074,0.22895919988391,1.5707963267949,0,0,YD_link,0,0,0,,,,,,,,,,,,
C2_Link,-2.74186972043511E-07,3.76258544668162E-06,-0.0124017714951685,0,0,0,0.0197882058693557,1.8764692282439E-06,2.82289220785619E-12,-7.43816526875445E-12,4.35926489796656E-06,1.01921320409672E-10,4.96045041294641E-06,0,0,0,0,0,0,package://S2_3DURDF/meshes/C2_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/C2_Link.STL,,F40-16TR1B2-8,C2_X,C2_Z,C2,fixed,0.173974239740265,-0.2725,0.228585143592104,1.5707963267949,0,0,YD_link,0,0,0,,,,,,,,,,,,
C3_Link,-2.73370399442308E-07,3.76436098467603E-06,-0.0124017651140693,0,0,0,0.0197881964753029,1.87646912954509E-06,2.86607559115354E-12,-7.4541790757754E-12,4.35926486417955E-06,1.01962577219796E-10,4.96045027216506E-06,0,0,0,0,0,0,package://S2_3DURDF/meshes/C3_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/C3_Link.STL,,F40-16TR1B2-7,C3_X,C3_Z,C3,fixed,0.32715024049647,-0.181305140670272,0.228585145611646,1.57079615933824,0,1.23991700422271,YD_link,0,0,0,,,,,,,,,,,,
C4_Link,-2.73361711114473E-07,3.76435285356913E-06,-0.0124017651101198,0,0,0,0.019788196468196,1.87646912872051E-06,2.86676980684052E-12,-7.45204691094099E-12,4.35926485951893E-06,1.01962365410156E-10,4.96045026692836E-06,0,0,0,0,0,0,package://S2_3DURDF/meshes/C4_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/C4_Link.STL,,F40-16TR1B2-6,C4_X,C4_Z,C4,fixed,0.327150240494142,0.181305140677049,0.228585145611646,1.57079615933824,0,1.90167564936708,YD_link,0,0,0,,,,,,,,,,,,
C5_Link,-2.74186972210044E-07,3.76258544665387E-06,-0.0124017714951686,0,0,0,0.0197882058693556,1.87646922824389E-06,2.82289220200479E-12,-7.43816524800489E-12,4.35926489796656E-06,1.01921320408767E-10,4.96045041294642E-06,0,0,0,0,0,0,package://S2_3DURDF/meshes/C5_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/C5_Link.STL,,F40-16TR1B2-5,C5_X,C5_Z,C5,fixed,0.173974239740266,0.2725,0.228585143592102,1.5707963267949,0,3.14159265358979,YD_link,0,0,0,,,,,,,,,,,,
C6_Link,-2.74186972321067E-07,3.76258544668162E-06,-0.0124017714951685,0,0,0,0.0197882058693554,1.87646922824388E-06,2.82289219834877E-12,-7.43816525798253E-12,4.35926489796652E-06,1.01921320406209E-10,4.96045041294637E-06,0,0,0,0,0,0,package://S2_3DURDF/meshes/C6_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/C6_Link.STL,,F40-16TR1B2-4,C6_X,C6_Z,C6,fixed,-0.173908647658814,0.272500000008966,0.228959199883909,1.5707963267949,0,-3.14159265358979,YD_link,0,0,0,,,,,,,,,,,,
C7_Link,-2.73590654187306E-07,3.76390811621108E-06,-0.0124017667033611,0,0,0,0.0197881988878677,1.87646915395752E-06,2.85442654515346E-12,-7.44930831008866E-12,4.35926487369325E-06,1.0195508327532E-10,4.96045031040527E-06,0,0,0,0,0,0,package://S2_3DURDF/meshes/C7_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/C7_Link.STL,,F40-16TR1B2-1,C7_X,C7_Z,C7,fixed,-0.321194563015731,0.172186052294659,0.228581160083316,1.5707963267949,0,-1.72854667833684,YD_link,0,0,0,,,,,,,,,,,,
C8_Link,-2.73562906036307E-07,3.7638962818165E-06,-0.0124017666975466,0,0,0,0.0197881988780045,1.87646915282665E-06,2.85607289431868E-12,-7.44645045994108E-12,4.35926486623337E-06,1.01954785476002E-10,4.9604503020761E-06,0,0,0,0,0,0,package://S2_3DURDF/meshes/C8_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/C8_Link.STL,,F40-16TR1B2-2,C8_X,C8_Z,C8,fixed,-0.321194563015517,-0.172186052269113,0.228581160083316,1.5707963267949,0,-1.41304597525296,YD_link,0,0,0,,,,,,,,,,,,
IMU_Link,-0.00219189474915925,0.00260536203133128,-0.0067840855855134,0,0,0,0.00727014122770307,7.45267165710906E-07,-6.14375941655801E-09,9.41217800280867E-11,2.2976915133089E-07,7.64997687385088E-10,9.42535432189181E-07,0,0,0,0,0,0,package://S2_3DURDF/meshes/IMU_Link.STL,0.866666666666667,0.866666666666667,0.890196078431372,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/IMU_Link.STL,,新IMU-2,IMU_X,IMU_Z,IMU,fixed,0,0,0.0999999999998661,0,0,0,YD_link,0,0,0,,,,,,,,,,,,
XJ_Link,3.4694E-18,0,0.00073871,0,0,0,0.00017226,5.5043E-10,3.9032E-42,-1.3728E-29,5.5043E-10,-1.2457E-42,9.8412E-10,0,0,0,0,0,0,package://S2_3DURDF/meshes/XJ_Link.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://S2_3DURDF/meshes/XJ_Link.STL,,LH-DS-50-1,XJ_X,XJ_Z,XJ,fixed,0.34185,0.0175,0.199,1.5708,0,1.5708,YD_link,0,0,0,,,,,,,,,,,,
